gender	race_ethnicity	parental_level_of_education	lunch	test_preparation_course	math_score	reading_score	writing_score
male	group D	high school	freereduced	none	42	39	34
male	group C	associate's degree	freereduced	completed	78	81	82
male	group E	high school	standard	none	70	55	56
female	group C	high school	freereduced	none	42	62	60
female	group C	some college	freereduced	none	76	83	88
male	group C	high school	standard	none	52	53	49
male	group D	bachelor's degree	standard	none	54	49	47
female	group D	associate's degree	freereduced	completed	75	90	88
male	group D	bachelor's degree	freereduced	completed	74	71	80
male	group A	high school	standard	completed	72	73	74
female	group C	bachelor's degree	standard	completed	79	92	89
female	group D	master's degree	standard	none	62	70	75
female	group C	associate's degree	freereduced	none	54	58	61
female	group C	associate's degree	standard	none	39	64	57
female	group E	some college	standard	completed	63	72	70
male	group E	bachelor's degree	freereduced	completed	79	74	72
male	group B	associate's degree	freereduced	none	61	58	56
female	group B	associate's degree	standard	none	71	83	78
male	group B	some high school	standard	completed	51	54	41
female	group E	associate's degree	standard	completed	82	85	86
male	group B	some college	standard	none	79	67	67
female	group B	associate's degree	standard	completed	59	70	66
male	group A	some college	freereduced	completed	50	47	54
male	group B	some high school	standard	none	67	64	61
female	group B	some high school	standard	none	70	64	72
female	group D	associate's degree	standard	none	65	69	70
female	group B	some college	standard	none	63	65	61
female	group B	high school	standard	none	65	81	73
male	group E	associate's degree	standard	completed	81	81	79
male	group C	high school	standard	none	70	70	65
female	group B	associate's degree	standard	none	53	58	65
male	group D	some high school	freereduced	completed	80	79	79
male	group D	bachelor's degree	standard	completed	68	74	74
male	group C	associate's degree	freereduced	none	73	68	66
male	group E	associate's degree	freereduced	completed	77	69	68
male	group E	high school	standard	completed	81	80	76
male	group C	master's degree	freereduced	completed	62	68	75
male	group E	some high school	standard	none	30	26	22
female	group C	associate's degree	standard	none	58	73	68
male	group E	some college	freereduced	completed	87	74	70
female	group D	some high school	standard	completed	61	74	72
male	group D	some college	standard	completed	65	77	74
male	group B	some college	standard	none	69	54	55
male	group A	high school	standard	none	57	43	47
female	group D	some college	standard	none	51	58	54
female	group B	high school	standard	none	87	95	86
female	group B	master's degree	standard	none	90	95	93
male	group A	bachelor's degree	standard	completed	80	78	81
female	group A	associate's degree	standard	completed	55	65	62
female	group C	master's degree	standard	completed	81	91	87
male	group C	high school	standard	none	84	77	74
female	group C	bachelor's degree	standard	none	65	72	74
female	group C	some college	standard	none	73	80	82
male	group D	some college	standard	none	88	73	78
female	group D	associate's degree	standard	none	74	81	83
female	group C	some college	standard	completed	88	93	93
male	group A	some high school	freereduced	none	39	39	34
male	group D	some college	standard	none	44	54	53
female	group C	some college	freereduced	none	59	62	64
female	group C	some college	standard	none	55	69	65
male	group D	some college	standard	none	40	42	38
male	group D	associate's degree	standard	none	40	52	43
male	group C	some college	freereduced	none	35	28	27
male	group E	some high school	standard	none	94	88	78
female	group B	some college	standard	completed	88	95	92
female	group C	bachelor's degree	standard	none	67	69	75
male	group A	some high school	standard	completed	62	67	69
female	group B	some college	freereduced	none	74	81	76
female	group D	bachelor's degree	standard	completed	68	75	81
male	group C	some college	standard	none	76	78	75
female	group E	master's degree	freereduced	none	56	72	65
female	group B	associate's degree	standard	none	57	69	68
female	group E	high school	freereduced	completed	66	74	78
female	group C	associate's degree	standard	none	63	67	70
female	group C	some college	standard	completed	70	89	88
female	group E	bachelor's degree	standard	completed	99	100	100
male	group C	associate's degree	standard	none	58	54	52
male	group A	associate's degree	freereduced	none	62	61	55
male	group B	some high school	standard	none	72	68	67
female	group C	master's degree	standard	completed	69	84	85
female	group B	master's degree	freereduced	completed	52	70	62
female	group B	bachelor's degree	standard	none	72	72	74
male	group D	associate's degree	standard	none	61	55	52
female	group E	master's degree	standard	none	81	92	91
female	group D	some college	freereduced	completed	58	63	73
female	group B	master's degree	freereduced	completed	58	76	78
female	group D	some high school	standard	none	59	58	59
female	group E	associate's degree	freereduced	none	50	56	54
female	group D	some high school	standard	none	76	72	71
male	group C	associate's degree	freereduced	none	55	61	54
male	group D	high school	freereduced	none	63	57	56
female	group C	some high school	standard	none	69	73	73
male	group B	master's degree	freereduced	none	49	53	52
female	group B	associate's degree	standard	completed	61	86	87
male	group B	high school	freereduced	none	49	45	45
male	group B	associate's degree	freereduced	none	57	56	57
female	group C	some college	freereduced	none	46	64	66
female	group C	high school	standard	none	66	71	76
female	group B	some college	standard	none	79	86	92
female	group C	bachelor's degree	standard	completed	96	100	100
male	group B	some college	freereduced	completed	59	65	66
female	group C	some college	freereduced	none	22	39	33
female	group B	some college	freereduced	none	45	53	55
male	group A	associate's degree	freereduced	none	47	57	44
female	group C	some college	standard	none	58	67	72
male	group D	high school	standard	none	88	78	75
female	group C	some college	standard	completed	75	81	84
male	group C	some high school	freereduced	completed	59	69	65
female	group B	high school	standard	completed	68	83	78
female	group D	some college	freereduced	none	65	81	77
male	group C	high school	standard	completed	82	84	82
female	group B	associate's degree	standard	none	47	49	50
male	group E	some college	standard	none	97	87	82
male	group B	some college	freereduced	none	40	43	39
female	group D	associate's degree	freereduced	completed	77	89	98
male	group C	high school	freereduced	none	27	34	36
male	group E	associate's degree	standard	none	72	64	63
female	group B	some high school	standard	none	62	64	66
male	group E	high school	freereduced	none	55	56	51
female	group D	some high school	standard	none	73	86	82
male	group D	high school	freereduced	completed	64	64	67
male	group A	some college	standard	completed	78	72	70
female	group C	some high school	freereduced	none	0	17	10
male	group C	associate's degree	freereduced	completed	65	67	65
male	group C	some high school	freereduced	completed	53	37	40
female	group B	some high school	freereduced	none	18	32	28
male	group C	high school	freereduced	completed	53	51	51
female	group A	associate's degree	freereduced	none	41	51	48
female	group C	bachelor's degree	standard	none	77	88	87
male	group D	bachelor's degree	freereduced	completed	74	79	75
male	group B	some high school	standard	completed	84	83	75
female	group B	bachelor's degree	freereduced	none	78	79	76
female	group C	associate's degree	standard	none	69	80	71
female	group C	some high school	freereduced	completed	71	84	87
male	group E	associate's degree	standard	completed	66	63	64
male	group E	some college	standard	none	53	55	48
female	group C	bachelor's degree	freereduced	completed	43	51	54
male	group C	associate's degree	freereduced	completed	60	51	56
female	group C	some college	freereduced	completed	67	75	70
male	group D	some college	standard	completed	58	59	58
female	group D	associate's degree	freereduced	completed	57	74	76
female	group A	some college	standard	none	58	70	67
female	group B	some college	freereduced	completed	65	75	70
male	group D	associate's degree	standard	none	52	55	49
male	group B	associate's degree	freereduced	completed	82	78	74
female	group B	some college	freereduced	none	58	61	66
male	group D	some high school	standard	completed	62	66	68
male	group D	some college	standard	completed	76	83	79
female	group A	bachelor's degree	standard	none	51	49	51
female	group D	some high school	freereduced	none	50	64	59
male	group B	some college	freereduced	none	60	60	60
male	group C	some college	standard	none	59	41	42
female	group C	some college	standard	completed	69	90	88
male	group C	some college	standard	none	53	44	42
male	group E	associate's degree	freereduced	completed	100	100	93
male	group D	master's degree	standard	none	89	84	82
male	group A	bachelor's degree	standard	none	77	67	68
male	group B	high school	standard	completed	60	44	47
female	group D	bachelor's degree	standard	none	65	67	62
female	group B	bachelor's degree	freereduced	none	75	85	82
female	group D	associate's degree	standard	none	71	71	74
male	group C	associate's degree	standard	none	69	77	69
male	group C	some high school	standard	none	49	49	41
male	group B	associate's degree	standard	completed	91	89	92
female	group E	associate's degree	freereduced	completed	83	86	88
male	group D	high school	standard	none	66	69	63
male	group B	some high school	freereduced	none	48	52	45
male	group D	some college	standard	completed	63	55	63
female	group D	master's degree	standard	none	87	100	100
female	group A	master's degree	standard	none	50	53	58
male	group C	high school	standard	none	71	79	71
female	group D	some high school	standard	completed	97	100	100
female	group D	associate's degree	standard	none	85	91	89
